skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Inferno	41	sor	inferno	11	19												infernoflame1	infernoflame1	infernoflame1						ln12/2-1																																																																		15	24					infernoflame1	infernoflame2											1	7		rng												SQ	SQ	xx	6	10																							(skill('Inferno'.blvl) < 100) ? (skill('Inferno'.blvl)/50+1) : ((skill('Inferno'.blvl)-50)/25+1)	35	250													1	1				12	0	4	18	2	1										"min(60,ln12)"	range	20	frames if monster					10	base range	1	level range	12	Min Mana to start casting									50	damage synergy	1								4															fire	20	8	16	24	32	40	50	12	24	36	48	60	(skill('Blaze'.blvl) + skill('Fire Wall'.blvl)) * par8 / 250								96	375
Static Field	42	sor	static field		20																34691				par1 + lvl/par2																																																				sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	xx					4												1						sorceress_cast_lightning		(skill('Static Field'.blvl) < 100) ? (skill('Static Field'.blvl)/50+1) : ((skill('Static Field'.blvl)-50)/25+1)	40	250																			1	8	18	3	1										par4	damage %	par3	min damage					5	Base radius of effect.	10	Level radius bonus per N levels	0	Minimum Damage.	25	Percent Damage.									1								8															ltng																					96	375
Telekinesis	43	sor	telekinesis	12	21																				par1																																																				sorceress_cast_lightning				sorceress_telekinesis							light_cast_2																					1	10		none												SC	SC	xx														1									sorceress_telekinesis		(skill('Telekinesis'.blvl) < 100) ? (skill('Telekinesis'.blvl)/50+1) : ((skill('Telekinesis'.blvl)-50)/25+1)	25	250																			1	8	14	0	1	1																	25	On-screen cast range.	35	Chance to knockback/stun.													1				5	2	109		8															ltng	1	1	1	1	1	1	2	1	1	1	1	1									96	375
Frost Nova	44	sor	frost nova		22												frostnova	frostnova	frostnova																																																										sorceress_cast_cold											ice_cast_2				25					frostnova												1	6		none												SC	SC	SC																	36	10					sorceress_cast_cold		(skill('Frost Nova'.blvl) < 100) ? (skill('Frost Nova'.blvl)/50+1) : ((skill('Frost Nova'.blvl)-50)/25+1)	40	250																			1	8	18	2	1																		6	radius of freeze	1	additional radius per levels											50	damage synergy	1								8															cold	12	6	12	18	24	30	24	6	12	18	24	30	(skill('Blizzard'.blvl) + skill('Frozen Orb'.blvl)) * par8 / 250	200	25	25	25				96	375
Ice Blast	45	sor	ice blast											iceblast																																																															sorceress_cast_cold											ice_cast_1								iceblast													1	6		none												SC	SC	xx																	1						sorceress_cast_cold		(skill('Ice Blast'.blvl) < 100) ? (skill('Ice Blast'.blvl)/50+1) : ((skill('Ice Blast'.blvl)-50)/25+1)	30	250					Ice Bolt								1						1	8	12	2	1																		75	Duration of freeze	5	additional duration/level											40	damage synergy	1								8															cold	32	12	24	36	48	60	64	12	24	36	48	60	(skill('Ice Bolt'.blvl) + skill('Glacial Spike'.blvl) + skill('Blizzard'.blvl) + skill('Frozen Orb'.blvl)) * par8 / 250	75	5	5	5				96	375
Blaze	46	sor	blaze		23												blaze	blaze	blaze			blaze		"min(par2, par1+lvl*2)"																																																					sorceress_cast_fire											fire_cast_2								blaze	firewall	firesmall	firemedium										1	3		none												SC	SC	xx																	1								(skill('Blaze'.blvl) < 100) ? (skill('Blaze'.blvl)/50+1) : ((skill('Blaze'.blvl)-50)/25+1)	50	250					Inferno														1	8	22	2	1																		25	Min Frames	500	Max Frames											50	damage synergy	1								4															fire	36	12	24	36	48	60	72	12	24	36	48	60	(skill('Inferno'.blvl) + skill('Fire Wall'.blvl)) * par8 / 250								128	1000
Fire Ball	47	sor	fire ball											fireball																																																															sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire		(skill('Fire Ball'.blvl) < 100) ? (skill('Fire Ball'.blvl)/50+1) : ((skill('Fire Ball'.blvl)-50)/25+1)	60	250					Fire Bolt								1						1	8	10	2	1																																50	damage synergy	1								8															fire	24	16	32	48	64	80	56	16	32	48	64	80	(skill('Fire Bolt'.blvl) + skill('Meteor'.blvl)) * par8 / 250								128	1000
Nova	48	sor	nova		22												nova	nova	nova																																																										sorceress_cast_lightning											light_cast_1				25					nova												1	2		none												SC	SC	xx																	36	10					sorceress_cast_lightning		(skill('Nova'.blvl) < 100) ? (skill('Nova'.blvl)/50+1) : ((skill('Nova'.blvl)-50)/25+1)	55	250					Static Field														1	8	25	2	1																		20	number of missiles	1	additional missiles per level											50	damage synergy	1								8															ltng	20	10	20	30	40	50	40	10	20	30	40	50	(skill('Static Field'.blvl) + skill('Thunder Storm'.blvl)) * par8 / 250								128	1000
Lightning	49	sor	lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SQ	SC	xx	12			1													1						sorceress_cast_lightning		(skill('Lightning'.blvl) < 100) ? (skill('Lightning'.blvl)/50+1) : ((skill('Lightning'.blvl)-50)/25+1)	60	250					Charged Bolt								1						1	7	32	2	1																																50	damage synergy	1								8															ltng	10	12	24	36	48	60	96	24	48	72	96	120	(skill('Charged Bolt'.blvl) + skill('Chain Lightning'.blvl)) * par8 / 250								128	1000
Shiver Armor	50	sor	shiver armor		18																	shiverarmor		ln34 + (skill('Frozen Armor'.blvl) + skill('Chilling Armor'.blvl)) * par7		skill_armor_percent	ln12											attackedinmelee	3																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_2	shiverarmor_hit								sparkle				10	sparkle delay	5	sparkle radius	3	sparkle height			1	0		none												SC	SC	xx																							sorceress_cast_cold	ice_cast_3	(skill('Shiver Armor'.blvl) < 100) ? (skill('Shiver Armor'.blvl)/50+1) : ((skill('Shiver Armor'.blvl)-50)/25+1)	50	250					Ice Blast	Frozen Armor													1	8	30	6	1	1																	48	% AC base	8	% AC per level	3000	Duration	300	duration per level					25	duration synergy	50	damage synergy	1								8															cold	24	8	16	24	32	40	32	8	16	24	32	40	(skill('Frozen Armor'.blvl) + skill('Chilling Armor'.blvl)) * par8 / 250	100		25	50				128	1000
Fire Wall	51	sor	fire wall		24												firewallmaker	firewall																																																											sorceress_cast_fire											fire_cast_2				26					firewallmaker												1	4		none												SC	SC	SC					4				1								1						sorceress_cast_fire		(skill('Fire Wall'.blvl) < 100) ? (skill('Fire Wall'.blvl)/50+1) : ((skill('Fire Wall'.blvl)-50)/25+1)	80	250					Blaze							20							1	8	44	2	1																																50	damage synergy	1								4															fire	20	8	16	24	32	40	60	12	24	36	48	60	(skill('Inferno'.blvl) + skill('Blaze'.blvl)) * par8 / 250								160	2000
Enchant	52	sor	enchant		25																	enchant		ln12		firemindam	enma	firemaxdam	exma	item_tohit_percent	toht																																														sorceress_enchant																																1	4		none												SC	SC	xx												1	1				1			1			sorceress_enchant		(skill('Enchant'.blvl) < 100) ? (skill('Enchant'.blvl)/50+1) : ((skill('Enchant'.blvl)-50)/25+1)	70	250					Warmth	Fire Ball													1	8	50	4	1	1																	3600	duration	100	duration per level	33	missile pct									50	damage synergy	1	20	9						8															fire	32	4	8	12	16	20	48	6	12	18	24	30	(skill('Warmth'.blvl)) * par8 / 250								160	2000
Chain Lightning	53	sor	chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1													151	96					sorceress_cast_lightning		(skill('Chain Lightning'.blvl) < 100) ? (skill('Chain Lightning'.blvl)/50+1) : ((skill('Chain Lightning'.blvl)-50)/25+1)	80	250					Lightning								1						1	8	35	2	1										ln34 / par5	# hits							10	radius of jump to next target			26	bolts (5ths)	1	bolts per level / divisor	10	divisor					50	damage synergy	1								8															ltng	10	12	24	36	48	60	120	26	52	78	104	130	(skill('Charged Bolt'.blvl) + skill('Lightning'.blvl)) * par8 / 250								160	2000
Teleport	54	sor	teleport		27																																																																								sorceress_teleport											teleport																			1		1	0		none												SC	SC	xx																	1		1	2			sorceress_teleport	teleport	(skill('Teleport'.blvl) < 100) ? (skill('Teleport'.blvl)/50+1) : ((skill('Teleport'.blvl)-50)/25+1)	70	250					Telekinesis														1	8	200	-1	1																																		1								8																																				160	2000
Glacial Spike	55	sor	glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold		(skill('Glacial Spike'.blvl) < 100) ? (skill('Glacial Spike'.blvl)/50+1) : ((skill('Glacial Spike'.blvl)-50)/25+1)	75	250					Ice Blast								1						1	8	20	2	1																		6	radius	0	radius per level	50	freeze frames	1	freeze frames per level							40	damage synergy	1								8															cold	40	20	40	60	80	100	100	20	40	60	80	100	(skill('Ice Bolt'.blvl) + skill('Ice Blast'.blvl) + skill('Blizzard'.blvl) + skill('Frozen Orb'.blvl)) * par8 / 250	100							160	2000
Meteor	56	sor	meteor		28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire				sorceress_meteor							fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2	(skill('Meteor'.blvl) < 100) ? (skill('Meteor'.blvl)/50+1) : ((skill('Meteor'.blvl)-50)/25+1)	95	250					Fire Ball	Fire Wall						15							1	7	60	3	1										ln12	radius							10	radius of explosion	0	radius per level	75	Frames of fire	5	Frames of fire per level							50	damage synergy	1								8															fire	100	30	50	60	90	110	150	30	50	60	90	110	(skill('Fire Bolt'.blvl) + skill('Fire Ball'.blvl)) * par8 / 250								192	4000
Thunder Storm	57	sor	thunder storm	13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast									lightning		light_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																									(skill('Thunder Storm'.blvl) < 100) ? (skill('Thunder Storm'.blvl)/50+1) : ((skill('Thunder Storm'.blvl)-50)/25+1)	100	250					Nova	Chain Lightning													1	8	50	10	1			1	(100-dm56) * par4/100 + par3														1000	duration	100	additional duration/level	25	minimum repeat time	100	repeat time factor	0	min % repeat time	100	max % repeat time	20	radius	50	damage synergy	1								8															ltng	30	10	20	30	40	50	150	30	60	90	120	150	(skill('Static Field'.blvl) + skill('Nova'.blvl)) * par8 / 250								192	4000
Energy Shield	58	sor	energy shield		23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																									(skill('Energy Shield'.blvl) < 100) ? (skill('Energy Shield'.blvl)/50+1) : ((skill('Energy Shield'.blvl)-50)/25+1)	90	250					Teleport	Chain Lightning													1	8	100	0	1	1									"min(edmn,95)"	damage absorption	"max(8, par5 - skill('Telekinesis'.blvl)/20)"	ratio					3600	duration	300	additional duration/level					32	Mana Damage mult in sixteenths							1								8																20	6	4	2	2	2	0	0	0	0	0	0									192	4000
Blizzard	59	sor	blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3	(skill('Blizzard'.blvl) < 100) ? (skill('Blizzard'.blvl)/50+1) : ((skill('Blizzard'.blvl)-50)/25+1)	100	250					Frost Nova	Glacial Spike						25							1	8	50	3	1										par1	radius	par3	frequency					15	radius			3	Missile delay	0	Change duration in Missiles.xls							40	damage synergy	1								8															cold	90	40	60	80	100	120	180	40	60	80	100	120	(skill('Ice Bolt'.blvl) + skill('Ice Blast'.blvl) + skill('Glacial Spike'.blvl) + skill('Frost Nova'.blvl)) * par8 / 250	150							192	4000
Chilling Armor	60	sor	chilling armor		18												chillingarmorbolt					chillingarmor		ln34 + (skill('Frozen Armor'.blvl) + skill('Shiver Armor'.blvl)) * par7		skill_armor_percent	ln12											hitbymissile	1																																						sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold		(skill('Chilling Armor'.blvl) < 100) ? (skill('Chilling Armor'.blvl)/50+1) : ((skill('Chilling Armor'.blvl)-50)/25+1)	90	250					Shiver Armor														1	8	40	8	1	1																	60	% AC Bonus	10	% AC bonus per level	3600	duration	360	duration per level					25	duration synergy	50	damage synergy	1								8															cold	36	4	8	12	16	20	48	4	8	12	16	20	(skill('Frozen Armor'.blvl) + skill('Shiver Armor'.blvl)) * par8 / 250	100							192	4000
Fire Mastery	61	sor	fire mastery																																											firemastery		passive_fire_mastery	ln12																																																												1	3		none												SC	SC	xx																									(skill('Fire Mastery'.blvl) < 100) ? (skill('Fire Mastery'.blvl)/50+1) : ((skill('Fire Mastery'.blvl)-50)/25+1)	120	250													1						0	8	0	0	1						1												20	% Damage bonus	4	% Damage bonus per level													1								8															fire																					224	8000
Hydra	62	sor	hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)									hydra1	hydra	99	S2	HydraMissile	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2	(skill('Hydra'.blvl) < 100) ? (skill('Hydra'.blvl)/50+1) : ((skill('Hydra'.blvl)-50)/25+1)	110	250					Enchant							25							1	8	100	10	1																		250	duration	2	additional duration/level											25	damage synergy	1								8															fire	40	8	12	16	20	24	80	12	18	24	30	36	(skill('Fire Bolt'.blvl) + skill('Fire Ball'.blvl)) * par8 / 250								224	8000
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery		passive_ltng_mastery	ln12																																																												1	5		none												SC	SC	xx																									(skill('Lightning Mastery'.blvl) < 100) ? (skill('Lightning Mastery'.blvl)/50+1) : ((skill('Lightning Mastery'.blvl)-50)/25+1)	120	250													1						0	8	0	0	1						1												20	% Damage bonus	4	% Damage bonus per level													1								8															ltng																					224	8000
Frozen Orb	64	sor	frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SC	SC	xx																	1						sorceress_cast_cold		(skill('Frozen Orb'.blvl) < 100) ? (skill('Frozen Orb'.blvl)/50+1) : ((skill('Frozen Orb'.blvl)-50)/25+1)	110	250					Blizzard							10	1						1	8	50	4	1																																25	damage synergy	1								8															cold	70	12	24	36	48	60	140	12	24	36	48	60	(skill('Ice Bolt'.blvl) + skill('Ice Blast'.blvl) + skill('Glacial Spike'.blvl) + skill('Frost Nova'.blvl)) * par8 / 250	200	25	25	25				224	8000
Cold Mastery	65	sor	cold mastery																																											coldmastery		passive_cold_mastery	ln12																																																												1	3		none												SC	SC	xx																									(skill('Cold Mastery'.blvl) < 100) ? (skill('Cold Mastery'.blvl)/50+1) : ((skill('Cold Mastery'.blvl)-50)/25+1)	120	250													1						0	8	0	0	1						1												20	% Damage bonus	4	% Damage bonus per level													1								8															cold																					224	8000
Amplify Damage	66	nec	amplify damage		30																3		amplifydamage	ln34	ln12	damageresist	0-par5																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast		(skill('Amplify Damage'.blvl) < 100) ? (skill('Amplify Damage'.blvl)/50+1) : ((skill('Amplify Damage'.blvl)-50)/25+1)	10	250																			1	7	9	1	1																		12	radius	0	radius per level	100	duration	5	additional duration/level	100	% additional damage taken							1								8																																				64	125
